,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
52,247733,32623,43026,141876,22292,44127,130635,10243,39442,77782,9025,22379,75806,7028,25320,109426,9401,46764,99986,6680,28018,102121,5627,26846,59181,4478,21112,46146,5937,18883,74359,9983,30330,98705,10208,23519
53,247286,33251,42845,143171,21422,43703,131183,9808,39329,77765,8743,22678,75234,6468,26453,110043,9422,46126,99361,7523,27800,103209,5161,26224,58161,4344,22266,45081,6466,19419,74288,10025,30360,99468,9842,23123
54,249031,32136,42216,140856,22818,44623,130627,10017,39676,77370,8348,23468,75923,6867,25364,110293,9210,46088,100764,6681,27239,103308,5065,26221,58722,4499,21550,45391,6464,19111,75048,9463,30162,99370,9756,23307
55,247851,33034,42497,142209,21887,44200,130824,9939,39557,77036,9253,22896,76481,6670,25003,110096,9917,45578,100761,6947,26975,102166,5631,26797,58406,4596,21769,45051,6132,19783,74237,10031,30405,99861,9876,22695
56,248611,32428,42343,141566,21938,44792,130969,10511,38839,77673,8738,22775,75744,6780,25630,110314,8955,46322,98446,7056,29182,102194,5461,26939,58357,4749,21665,44991,6872,19103,74553,9477,30643,98117,10160,24155
57,246184,33229,43969,142652,21931,43713,130960,10468,38892,76922,8751,23513,75747,7000,25407,109131,10424,46036,100643,6510,27531,102508,5477,26609,58885,4533,21353,45086,6731,19148,73673,9991,31009,99620,9297,23515
58,248097,33449,41836,141465,21826,45005,130241,10337,39742,77021,8831,23334,75198,7309,25647,109185,9314,47091,99623,6337,28724,102166,5380,27048,58749,4454,21568,45318,6715,18934,74330,10106,30237,99028,10319,23085
59,247894,32938,42550,141954,21908,44434,131111,10281,38928,77273,8855,23057,75297,7018,25839,110197,9349,46045,101279,6280,27125,103084,5322,26188,58821,4751,21198,45466,6065,19436,73876,10114,30682,99727,10134,22571
60,246832,33630,42920,140923,22346,45027,130501,10072,39748,77421,8536,23229,75343,6931,25880,109904,10026,45661,100316,6566,27802,102029,5495,27070,58207,4926,21638,45479,6219,19268,74454,9917,30303,97440,10609,24383
61,248042,32544,42796,142367,22703,43225,130430,9998,39892,77607,8730,22849,76178,7161,24814,111380,9375,44836,101191,5866,27627,102002,5595,26997,58119,4900,21751,45127,6416,19423,74893,9937,29844,99153,10359,22920
62,246905,33875,42602,142196,21804,44296,130560,10007,39753,77268,8928,22990,76518,6908,24727,109359,9799,46433,101110,6889,26685,102320,5375,26899,58020,4621,22130,45822,6241,18903,74132,9685,30856,97732,10454,24246
